,title,status,level,author
0,Panduan Awal Menjadi Fullstack Web Developer,publish,beginner,Sandhika Galih
1,Studi Kasus Web Geolocation dengan Laravel dan HERE Maps,publish,beginner,Ahmad Hakim
2,Membangun Website Toko Online Berbasis CodeIgniter,publish,beginner,Ahmad Hakim
3,Belajar Cepat Membuat Web App Berbasis React ,publish,beginner,Bagus Budi Cahyono
4,Belajar Pemrograman PHP,publish,beginner,Toni Haryanto
5,Menguasai Framework CodeIgniter 3,publish,beginner,Toni Haryanto
6,Membuat Toko Online dengan Laravel LiveWire dan Payment Gateway,publish,intermediate,Ahmad Hakim
7,Membuat Sistem Informasi Perpustakaan Menggunakan Laravel 6,publish,beginner,Muhammad Amirul Ihsan
8,Membangun Website Modern dengan Vue.js 2,publish,beginner,Ahmad Hakim
9,Membuat Aplikasi Presensi Android Berbasis Lokasi - Kotlin,publish,beginner,Aulia Rahman
10,Menguasai Framework Laravel 8,publish,beginner,Ahmad Hakim
11,Membuat Aplikasi E-learning di Android menggunakan Realtime Firebase - Kotlin,publish,intermediate,Aulia Rahman
12,"Fullstack Tutorial MongoDB, Express, Vue, Node - Shopping Cart",publish,beginner,Ahmad Hakim
13,Membuat REST API dengan Express.js dan MySQL - Studi Kasus Classified Ads,publish,beginner,Ahmad Hakim
14,Pengenalan Machine Learning,publish,beginner,Nur Indah Pratiwi
15,Aplikasi Pemasaran Produk Android OLX Clone - Kotlin,publish,intermediate,Aulia Rahman
16,Dasar-dasar Framework Laravel 6,publish,intermediate,Muhammad Amirul Ihsan
17,Membangun Web Donasi Online dengan Laravel dan Payment Gateway,publish,intermediate,Ahmad Hakim
18,Membuat Website Company Profile dari Nol Sampai Online,publish,beginner,Aden Rahmandi
19,Android Development Starter Pack - Java,publish,beginner,Aulia Rahman
20,Membangun Aplikasi SPA Laravel VueJS dengan Fitur Authentikasi,publish,intermediate,Ahmad Hakim
21,Cara Mudah Buat Toko Online Sendiri dengan Wordpress,publish,beginner,Toni Haryanto
22,"Membangun Website Toko Online Menggunakan Laravel, Nuxt.js dan Payment Gateway",publish,beginner,Fika Ridaul Maulayya
23,"Membangun Aplikasi Point Of Sales Kasir dengan Laravel, Inertia.js & Vue.js",publish,beginner,Fika Ridaul Maulayya
24,Deploy Projek Machine Learning ke Cloud,publish,beginner,Nur Indah Pratiwi
25,"Membangun Website Sekolah Dengan Laravel, Vue Js dan Bootstrap 5",publish,beginner,Fika Ridaul Maulayya
26,Membangun RESTful API dengan Laravel Studi Kasus Blog,publish,intermediate,Ahmad Hakim
27,Belajar Framework Laravel Studi Kasus Role Management,publish,intermediate,Ahmad Hakim
28,Menguasai Framework Laravel 9,publish,beginner,Aldi Zainafif
29,Memahami Cara Kerja Tim IT di Perusahaan yang Bekerja dari Rumah,publish,intermediate,Muhammad Singgih Z.A
30,"Membangun Aplikasi Ujian Online (CBT) Dengan Laravel, Inertia.js & Vue.js",publish,beginner,Fika Ridaul Maulayya
31,Membuat Aplikasi Android Manajemen Tugas - Kotlin,publish,beginner,Aulia Rahman
32,Belajar Dasar HTML,publish,beginner,Ahmad Hakim
33,Membuat Realtime Chatroom dengan Websocket Menggunakan Laravel dan Vue,publish,beginner,Ahmad Hakim
34,Jago React Native dengan Membuat Movie App,publish,beginner,Hakim Sembiring Meliala
35,Jago Fullstack JavaScript dengan Membuat Blog,publish,beginner,Hakim Sembiring Meliala
36,Membuat Aplikasi Quiz dengan RecyclerView - Kotlin,publish,intermediate,Aulia Rahman
37,Belajar JavaScript,publish,beginner,Ahmad Hakim
38,1 Jam Bisa Membuat Game dengan Construct 3,publish,beginner,Ahmad Hakim
39,Sistem Otentikasi API Berbasis OAuth dengan Laravel Passport,publish,intermediate,Ahmad Hakim
40,Membuat Aplikasi Music Player di Android - Kotlin,publish,intermediate,Aulia Rahman
41,Membuat Chat bot Pintar di Telegram : Studi kasus Bot Info Covid-19,publish,intermediate,Ahmad Hakim
42,Belajar Membangun RESTful dengan Adonis.js,publish,beginner,Ahmad Hakim
43,Optimasi Kinerja Laravel dengan Redis,publish,beginner,Ahmad Hakim
44,"Membangun Toko Online Dengan Laravel, Vue Js dan Payment Gateway",publish,beginner,Fika Ridaul Maulayya
45,Implementasi Firebase Auth di Android - Kotlin,publish,beginner,Aulia Rahman
46,Membuat Website Profile Perusahaan Tanpa Coding dengan Mobirise,publish,beginner,Yusuf Fazeri
47,Belajar Dasar CSS,publish,beginner,0
