,Unnamed: 0,total_module,total_time,total,normal_price,retail_price,rent_price,total_student,total_rating,total_feedback
0,0,5,1,2355,59000,29000,0.0,0,4.9,100
1,1,21,2,2246,149000,149000,49000.0,2520,4.8,159
2,2,103,15,273,299000,299000,119000.0,3011,4.8,219
3,3,49,3,241,199000,199000,79000.0,1925,4.6,171
4,4,46,4,187,199000,199000,79000.0,5991,4.8,869
5,5,28,5,148,149000,149000,49000.0,3041,4.7,326
6,6,30,3,137,199000,199000,79000.0,1500,4.7,135
7,7,63,8,126,249000,249000,99000.0,1711,4.8,157
8,8,52,4,124,199000,199000,79000.0,2144,4.7,340
9,9,13,1,118,149000,149000,49000.0,1121,4.7,96
10,10,60,5,106,199000,199000,79000.0,959,4.8,235
11,11,43,2,74,199000,199000,79000.0,291,4.8,47
12,12,24,4,72,149000,149000,49000.0,243,4.9,28
13,13,35,4,62,199000,199000,79000.0,152,4.8,32
14,14,17,2,57,349000,109000,70000.0,54,4.5,17
15,15,79,11,54,249000,249000,99000.0,102,5.0,6
16,16,55,5,48,199000,199000,79000.0,2221,4.8,219
17,17,12,1,45,149000,149000,49000.0,979,4.7,115
18,18,62,12,45,250000,99000,70000.0,124,4.8,10
19,19,57,4,40,199000,199000,79000.0,1099,4.8,165
20,20,21,3,37,149000,149000,49000.0,503,4.8,64
21,21,27,2,35,149000,149000,49000.0,518,4.8,293
22,22,125,8,34,399000,399000,0.0,39,5.0,3
23,23,101,8,31,400000,400000,0.0,29,5.0,2
24,24,33,3,31,250000,250000,99000.0,25,4.8,5
25,25,69,4,30,400000,400000,0.0,33,5.0,1
26,26,19,1,29,149000,149000,49000.0,1230,4.8,303
27,27,12,1,29,149000,149000,49000.0,775,4.7,102
28,28,60,5,29,199000,199000,79000.0,316,4.9,91
29,29,22,1,27,149000,149000,49000.0,428,4.8,87
30,30,98,10,27,400000,400000,0.0,20,0.0,0
31,31,21,4,26,149000,149000,49000.0,509,4.7,39
32,32,30,3,26,149000,149000,49000.0,1759,4.8,2151
33,33,11,1,25,149000,149000,49000.0,728,4.7,122
34,34,4,24,25,250000,250000,70000.0,14,4.0,2
35,35,12,2,24,250000,250000,70000.0,23,5.0,4
36,36,21,2,22,149000,149000,49000.0,261,4.6,61
37,37,83,4,21,199000,199000,99000.0,1033,4.7,706
38,38,23,1,20,149000,149000,49000.0,509,4.8,128
39,39,21,2,19,149000,149000,49000.0,724,4.7,74
40,40,59,2,19,199000,199000,79000.0,243,4.6,8
41,41,16,2,18,149000,149000,49000.0,219,4.8,57
42,42,21,1,18,149000,149000,49000.0,17,5.0,21
43,43,8,1,17,149000,149000,49000.0,113,4.8,32
44,44,79,8,16,400000,400000,0.0,23,5.0,1
45,45,17,4,15,149000,149000,49000.0,797,4.6,84
46,46,25,1,15,149000,149000,49000.0,225,4.9,42
47,47,39,3,14,149000,149000,49000.0,1198,4.7,1194
48,48,13,1,13,149000,149000,49000.0,715,4.8,96
49,49,31,3,13,199000,199000,79000.0,476,4.8,77
50,50,5,1,2355,59000,29000,0.0,0,4.9,100
51,51,21,2,2246,149000,149000,49000.0,2520,4.8,159
52,52,103,15,273,299000,299000,119000.0,3011,4.8,219
53,53,49,3,241,199000,199000,79000.0,1925,4.6,171
54,54,46,4,187,199000,199000,79000.0,5991,4.8,869
55,55,28,5,148,149000,149000,49000.0,3041,4.7,326
56,56,30,3,137,199000,199000,79000.0,1500,4.7,135
57,57,63,8,126,249000,249000,99000.0,1711,4.8,157
58,58,52,4,124,199000,199000,79000.0,2144,4.7,340
59,59,13,1,118,149000,149000,49000.0,1121,4.7,96
60,60,60,5,106,199000,199000,79000.0,959,4.8,235
61,61,43,2,74,199000,199000,79000.0,291,4.8,47
62,62,24,4,72,149000,149000,49000.0,243,4.9,28
63,63,35,4,62,199000,199000,79000.0,152,4.8,32
64,64,17,2,57,349000,109000,70000.0,54,4.5,17
65,65,79,11,54,249000,249000,99000.0,102,5.0,6
66,66,55,5,48,199000,199000,79000.0,2221,4.8,219
67,67,12,1,45,149000,149000,49000.0,979,4.7,115
68,68,62,12,45,250000,99000,70000.0,124,4.8,10
69,69,57,4,40,199000,199000,79000.0,1099,4.8,165
70,70,21,3,37,149000,149000,49000.0,503,4.8,64
71,71,27,2,35,149000,149000,49000.0,518,4.8,293
72,72,125,8,34,399000,399000,0.0,39,5.0,3
73,73,101,8,31,400000,400000,0.0,29,5.0,2
74,74,33,3,31,250000,250000,99000.0,25,4.8,5
75,75,69,4,30,400000,400000,0.0,33,5.0,1
76,76,19,1,29,149000,149000,49000.0,1230,4.8,303
77,77,12,1,29,149000,149000,49000.0,775,4.7,102
78,78,60,5,29,199000,199000,79000.0,316,4.9,91
79,79,22,1,27,149000,149000,49000.0,428,4.8,87
80,80,98,10,27,400000,400000,0.0,20,0.0,0
81,81,21,4,26,149000,149000,49000.0,509,4.7,39
82,82,30,3,26,149000,149000,49000.0,1759,4.8,2151
83,83,11,1,25,149000,149000,49000.0,728,4.7,122
84,84,4,24,25,250000,250000,70000.0,14,4.0,2
85,85,12,2,24,250000,250000,70000.0,23,5.0,4
86,86,21,2,22,149000,149000,49000.0,261,4.6,61
87,87,83,4,21,199000,199000,99000.0,1033,4.7,706
88,88,23,1,20,149000,149000,49000.0,509,4.8,128
89,89,21,2,19,149000,149000,49000.0,724,4.7,74
90,90,59,2,19,199000,199000,79000.0,243,4.6,8
91,91,16,2,18,149000,149000,49000.0,219,4.8,57
92,92,21,1,18,149000,149000,49000.0,17,5.0,21
93,93,8,1,17,149000,149000,49000.0,113,4.8,32
94,94,79,8,16,400000,400000,0.0,23,5.0,1
95,95,17,4,15,149000,149000,49000.0,797,4.6,84
96,96,25,1,15,149000,149000,49000.0,225,4.9,42
97,97,39,3,14,149000,149000,49000.0,1198,4.7,1194
98,98,13,1,13,149000,149000,49000.0,715,4.8,96
